Date,Title,Close,High,Low,Open,Volume
02-07-2025 03:00,"Nifty , Sensex likely to open flat as rangebound trade continues ; key levels to track on July 2",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:15,"NIFTY MIDCAP 150 Index Live , 02 July 2025 : Weekly , monthly and yearly historical performance of Nifty Midcap 150",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:15,"NIFTY BANK Index Live , 02 July 2025 : Review of weekly , monthly and yearly historical performance of Nifty Bank",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:15,India equity benchmarks likely to rise after Trump comment on trade deal,25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:15,"NIFTY NEXT 50 Index Live , 02 July 2025 : Historical performance overview of Nifty Next 50",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:30,"Gold prices today in your city : Check prices in Mumbai , Bengaluru , Chennai , Hyderabad , New Delhi and Kolkata on July 2",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:30,"Infosys , HCL Tech to TCS share prices : Is IT sector poised for a better H2CY25",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:30,"Nifty 50 , Sensex today : What to expect from Indian stock market in trade on July 2",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 03:45,India IPO market eyes $2 . 4 billion in offerings in July as confidence rebounds | Business News,25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 04:30,India equity benchmarks inch higher at the open after Trump comment on trade deal,25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 05:00,"Nifty , Sensex opened with gains on Trump trade deal optimism , Q1 results in July to drive market further",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 06:30,Week of 27th June 2025 - FIIs flows increase 2x . Debt sees 2nd week of inflows,25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 06:30,"India HDB Financial shines in trading debut , valuing non - bank lender at over $8 billion",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 06:30,Stocks Surged updates : Sensex falls ! But these stocks are up over 5 % on BSE,25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 07:00,"Nifty , Sensex Muted In Morning Session As Financial Stocks Weigh",25453.40039,25608.09961,25378.75,25588.30078,309800
02-07-2025 08:00,Divis Labs to JSW Steel - Jay Thakkar suggests three stocks to buy for short - term in F & O segment,25453.40039,25608.09961,25378.75,25588.30078,309800
